Tier,Service,Description,Specs,Monthly Cost,12 Months Cost
T0 · Demo,Amazon Bedrock,Titan Text Embeddings V2 — clip + query embeddings,69K tokens/mo @ $0.02/MTok,0.0012,0.01
T0 · Demo,Amazon Bedrock,Titan Image Embeddings — Q3 likeness vectors,330 images/mo @ $0.00006/image,0.0198,0.24
T0 · Demo,Amazon Bedrock,Nova Lite — agent runtime for Q4 over MCP,50 queries/mo @ 4K in / 500 out,0.0180,0.22
T0 · Demo,AWS Batch / Fargate Spot,Generator container — Genblaze + ffmpeg,"1.2 hr/mo @ 2 vCPU / 4 GB, minvCpus 0",0.0370,0.44
T0 · Demo,AWS Lambda,web — FastAPI via Web Adapter + Function URL,"1,000 req/mo — inside 1M free tier",0.0000,0.00
T0 · Demo,Amazon SQS,job queue + DLQ,50 req/mo — inside 1M free tier,0.0000,0.00
T0 · Demo,Amazon ECR,generator image storage,2 GB @ $0.10/GB-mo,0.2000,2.40
T0 · Demo,Amazon CloudWatch,"logs, 14-day retention",UNVERIFIED placeholder,0.1500,1.80
T0 · Demo,AWS Systems Manager,Parameter Store — B2 + provider keys,Standard tier — free,0.0000,0.00
T0 · Demo,CockroachDB Cloud (not AWS),"Basic — vectors and rows, never bytes","0.04 GiB of 10 GiB free · 1,750 ops/mo",0.0000,0.00
T0 · Demo,Backblaze B2 (not AWS),"masters, stills, manifests — unchanged by branch",2.8 GB @ $0.00695/GB-mo,0.0191,0.23
T0 · Demo,TOTAL — infrastructure,AWS + B2 + CockroachDB,excludes image generation,0.4451,5.34
T0 · Demo,MEMO — image generation,gemini-2.5-flash-image @ $0.04,330 attempts/mo,13.20,158.40
T1 · Pilot,Amazon Bedrock,Titan Text Embeddings V2 — clip + query embeddings,135K tokens/mo @ $0.02/MTok,0.0027,0.03
T1 · Pilot,Amazon Bedrock,Titan Image Embeddings — Q3 likeness vectors,968 images/mo @ $0.00006/image,0.0581,0.70
T1 · Pilot,Amazon Bedrock,Nova Lite — agent runtime for Q4 over MCP,200 queries/mo @ 4K in / 500 out,0.0720,0.86
T1 · Pilot,AWS Batch / Fargate Spot,Generator container — Genblaze + ffmpeg,"5.0 hr/mo @ 2 vCPU / 4 GB, minvCpus 0",0.1481,1.78
T1 · Pilot,AWS Lambda,web — FastAPI via Web Adapter + Function URL,"4,000 req/mo — inside 1M free tier",0.0000,0.00
T1 · Pilot,Amazon SQS,job queue + DLQ,200 req/mo — inside 1M free tier,0.0000,0.00
T1 · Pilot,Amazon ECR,generator image storage,2 GB @ $0.10/GB-mo,0.2000,2.40
T1 · Pilot,Amazon CloudWatch,"logs, 14-day retention",UNVERIFIED placeholder,0.1500,1.80
T1 · Pilot,AWS Systems Manager,Parameter Store — B2 + provider keys,Standard tier — free,0.0000,0.00
T1 · Pilot,CockroachDB Cloud (not AWS),"Basic — vectors and rows, never bytes","0.05 GiB of 10 GiB free · 5,240 ops/mo",0.0000,0.00
T1 · Pilot,Backblaze B2 (not AWS),"masters, stills, manifests — unchanged by branch",13.2 GB @ $0.00695/GB-mo,0.0918,1.10
T1 · Pilot,TOTAL — infrastructure,AWS + B2 + CockroachDB,excludes image generation,0.7227,8.67
T1 · Pilot,MEMO — image generation,gemini-2.5-flash-image @ $0.04,968 attempts/mo,38.72,464.64
T2 · Platform,Amazon Bedrock,Titan Text Embeddings V2 — clip + query embeddings,"1,280K tokens/mo @ $0.02/MTok",0.0242,0.29
T2 · Platform,Amazon Bedrock,Titan Image Embeddings — Q3 likeness vectors,"7,920 images/mo @ $0.00006/image",0.4752,5.70
T2 · Platform,Amazon Bedrock,Nova Lite — agent runtime for Q4 over MCP,"2,000 queries/mo @ 4K in / 500 out",0.7200,8.64
T2 · Platform,AWS Batch / Fargate Spot,Generator container — Genblaze + ffmpeg,"50.0 hr/mo @ 2 vCPU / 4 GB, minvCpus 0",1.4811,17.77
T2 · Platform,AWS Lambda,web — FastAPI via Web Adapter + Function URL,"400,000 req/mo — inside 1M free tier",0.0000,0.00
T2 · Platform,Amazon SQS,job queue + DLQ,"2,000 req/mo — inside 1M free tier",0.0000,0.00
T2 · Platform,Amazon ECR,generator image storage,2 GB @ $0.10/GB-mo,0.2000,2.40
T2 · Platform,Amazon CloudWatch,"logs, 14-day retention",UNVERIFIED placeholder,0.1500,1.80
T2 · Platform,AWS Systems Manager,Parameter Store — B2 + provider keys,Standard tier — free,0.0000,0.00
T2 · Platform,CockroachDB Cloud (not AWS),"Basic — vectors and rows, never bytes","0.63 GiB of 10 GiB free · 43,600 ops/mo",0.0000,0.00
T2 · Platform,Backblaze B2 (not AWS),"masters, stills, manifests — unchanged by branch",132.1 GB @ $0.00695/GB-mo,0.9181,11.02
T2 · Platform,TOTAL — infrastructure,AWS + B2 + CockroachDB,excludes image generation,3.9686,47.62
T2 · Platform,MEMO — image generation,gemini-2.5-flash-image @ $0.04,"7,920 attempts/mo",316.80,3801.60
